Name	Location	IP address
ACS-LJ-9050	VHA-155	137.140.24.164
ASH-LJ-602	Ashokan	137.140.24.120
AWA-LJ-602	Awosting	137.140.24.121
BLI-LJ-602	Bliss	137.140.24.130
BOU-LJ-602	Bouton	137.140.24.131
CAP-LJ-602	Capen	137.140.24.132
CAPENEOP-LJ-M608	EOP CAPEN	137.140.24.177
CH-LJ-602	College Hall	137.140.24.133
CSB118-CLJ-M750	CSB118	137.140.24.235
CSB118-LJ-M806	CSB118	137.140.24.221
CSB145-LJ-602	CSB145	137.140.24.166
CSB21-LJ-603	CSB21	137.140.24.160
CSB24-LJ-603	CSB24	137.140.24.172
CSB29-LJ-603	CSB29	137.140.24.174
CSB312-LJ-M608	CSB312	137.140.114.20
CSB321-LJ-M609	CSB 321	137.140.24.205
CT126-LJ-602	CT126	137.140.24.243
CT126-CLJ-M750	CT126	137.140.24.245
EIH218 -LJ-M806	EIH218	137.140.24.212
EIH218-CLJ-M750	EIH218	137.140.24.213
ESO-LJ-602	Esopus	137.140.24.123
FAB225-LJ-M806	FAB225	137.140.24.163
GAGE-LJ-602	Gage	137.140.24.124
HAB210-LJ-M608	HAB210 (DRC testing room)	137.140.24.192
HONORS-LJ-4515	CH 113	137.140.24.157
HONORS-CLJ-M551	CH 113	137.140.24.217
HUM103-LJ-603	HUM103	137.140.24.146
HUM105-LJ-m507	HUM105	137.140.24.158
HUM105B - CLJ-M750	HUM107	137.140.24.161
HUM107-LJ- M806	HUM107	137.140.24.206
HUM24-LJ-603	HUM24	137.140.24.199
HUM301-LJ-M609	HUM301	137.140.24.204
HUM307-CLJ-5550	HUM307	137.140.24.178
HUM4-LJ-M603	HUM4	137.140.24.191
HUMB1-CLJ-M551	HUM B-1	137.140.24.171
LC110-LJ-M606	LC110	137.140.24.237
LC112-LJ-M606	LC112	137.140.24.189
LC120B-CLJ-5550	LC120B	137.140.24.240
LCLOBBY-LJ-M806	LCLobby	137.140.24.226
LEN-LJ-602	Lenape	137.140.24.126
MNH-LJ-601	Minnewaska	137.140.24.129
SUB39-LJ-M602	SUB39	137.140.24.168
MOH-LJ-602	Mohonk	137.140.24.122
OIT-LJ-4350	CH 111	offline
OITCLJ-M750	CH 111	137.140.24.152
OMB102-CLJ-M551	OMB102 (Literacy Center)	137.140.24.219
OMB102-LJ-4515	OMB102 (Literacy Center)	137.140.24.218
OM131-LJ-M806	OM131	137.140.24.236
OM215-LJ-M609	OM215 (CMC)	137.140.24.185
OM215-CLJ-5500	OM215 (CMC)	137.140.24.153
OMB106-LJ-M606	OMB106	137.140.24.151
PDH-CLJ-M750	PDH	137.140.24.145
PDH-LJ-M806	PDH	137.140.24.190
REH107-LJ-M608	REH107	137.140.24.238
REH210-LJ-M609	REH210	137.140.24.184
REH211-LJ-M606	REH211	137.140.24.187
RVH-LJ-M602	RidgeView Hall 	137.140.24.167
SAB100-LJ2-4515	SAB100	137.140.24.159
SAB210-CLJ-M750	SAB210	137.140.24.231
SAB210-LJ-M606	SAB210	137.140.24.201
SAB212-CLJ-M750	SAB212	137.140.24.225
SAB212-LJ-M606	SAB212	137.140.24.202
SWH-LJ-602	Schawangunk	137.140.24.125
SCUD-LJ-602	Scudder	137.140.24.127
SH158-LJ-M606	SH158 - Physics	137.140.24.149
SH168-LJ-4515	SH168 Math Lab	137.140.24.183
SH231-LJ-9050	SH231	137.140.24.244
SH231-CLJ-M750	SH231	137.140.24.162
SH259-LJ-M606	SH259 NUCs	137.140.24.169
SH271-LJ-M606	SH271 NUCs	137.140.24.173
SHA-LJ-602	Shango	137.140.24.128
SHANGOEOP-LJ-M608	SHANGOEOP	137.140.24.194
SUB-LJ-M806	SUB ATRIUM	137.140.24.148
SUB100-LJ-4515	SUB100S 	137.140.24.239
VH113-LJ-9050	VH113	137.140.24.232
VH115-LJ-M806	VH115	137.140.24.155
VH115-CLJ-M750	VH115	137.140.24.156
VH208A-LJ-m506	VH208A	137140.24.208
VH208B-LJ-m506	VH208B	137.140.24.209
VH221-LJ-M609	VH221	137.140.24.222
VHA 250A-LJ-m506	VHA-250A	137.140.24.196
WHLobby-LJ-M712	WHLobby	137.140.24.248
WH219-LJ-9050	WH219	137.140.24.135
WH221-LJ-M606	WH221	137.140.24.247
WH223-LJ-M606	WH223	137.140.24.246
WH335-LJ-M606	WH335	137.140.24.227
WH337-CLJ-M750	WH337	137.140.24.229
WH337-LJ-M606	WH337	137.140.24.228
